season,rank,team,power,sp_ovr,sp_off,sp_def,sp_st
2025,1,Ohio State,332.07131745137207,29.5,"{'ranking': 7, 'rating': 39.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 2, 'rating': 10.1, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.3}
2025,2,Alabama,314.2613207350607,27.9,"{'ranking': 5, 'rating': 40.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 5, 'rating': 12.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,3,Penn State,312.0350711455218,27.7,"{'ranking': 3, 'rating': 40.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 6, 'rating': 12.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.1}
2025,4,Georgia,303.13007278736603,26.9,"{'ranking': 8, 'rating': 39, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 4, 'rating': 12.1, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.6}
2025,5,Texas,297.5644488135187,26.4,"{'ranking': 16, 'rating': 35.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 1, 'rating': 9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.5}
2025,6,Notre Dame,280.86757689197685,24.9,"{'ranking': 9, 'rating': 38.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 8, 'rating': 13.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.2}
2025,7,Oregon,278.6413273024379,24.7,"{'ranking': 4, 'rating': 40.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 11, 'rating': 15.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.5}
2025,8,Clemson,263.05758017566546,23.3,"{'ranking': 6, 'rating': 39.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 12, 'rating': 16.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.3}
2025,9,LSU,249.70008263843192,22.1,"{'ranking': 2, 'rating': 40.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 23, 'rating': 18.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.1}
2025,10,Michigan,243.02133386981515,21.5,"{'ranking': 32, 'rating': 31.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 3, 'rating': 10.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,11,Ole Miss,224.0982123587343,19.8,"{'ranking': 20, 'rating': 34.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 9, 'rating': 14.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.3}
2025,12,Miami,212.96696441103967,18.8,"{'ranking': 1, 'rating': 43.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 44, 'rating': 24.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,13,Tennessee,208.51446523196182,18.4,"{'ranking': 34, 'rating': 31.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 7, 'rating': 13, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,14,Florida,196.27009248949776,17.3,"{'ranking': 16, 'rating': 35.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 21, 'rating': 18.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.3}
2025,15,Texas A&M,195.15696769472825,17.2,"{'ranking': 18, 'rating': 34.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 18, 'rating': 17.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,16,Oklahoma,187.36509413134203,16.5,"{'ranking': 24, 'rating': 33.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 12, 'rating': 16.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,17,South Carolina,182.91259495226421,16.1,"{'ranking': 24, 'rating': 33.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 15, 'rating': 17.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.1}
2025,18,Kansas State,177.3469709784169,15.6,"{'ranking': 14, 'rating': 35.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 26, 'rating': 20, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,19,Illinois,162.8763486464139,14.3,"{'ranking': 28, 'rating': 32.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 20, 'rating': 18, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,20,SMU,149.51885110918033,13.1,"{'ranking': 11, 'rating': 37.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 42, 'rating': 24.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.1}
2025,21,Missouri,142.84010234056356,12.5,"{'ranking': 41, 'rating': 30.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 22, 'rating': 18.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.1}
2025,22,Arizona State,139.5007279562552,12.2,"{'ranking': 26, 'rating': 32.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 27, 'rating': 20.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.6}
2025,22,Indiana,139.5007279562552,12.2,"{'ranking': 30, 'rating': 32.1, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 25, 'rating': 19.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,23,Louisville,138.38760316148574,12.1,"{'ranking': 12, 'rating': 36.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 45, 'rating': 24.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.1}
2025,24,Auburn,135.04822877717734,11.8,"{'ranking': 48, 'rating': 29.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 18, 'rating': 17.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.1}
2025,24,Texas Tech,135.04822877717734,11.8,"{'ranking': 9, 'rating': 38.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 55, 'rating': 26.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,25,BYU,131.70885439286897,11.5,"{'ranking': 29, 'rating': 32.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 28, 'rating': 20.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.3}
2025,26,Iowa,130.59572959809952,11.4,"{'ranking': 68, 'rating': 26.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 10, 'rating': 15.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.3}
2025,27,TCU,127.25635521379112,11.1,"{'ranking': 19, 'rating': 34.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 37, 'rating': 23.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.1}
2025,28,USC,126.14323041902165,11.0,"{'ranking': 13, 'rating': 36.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 47, 'rating': 25.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.1}
2025,28,Utah,126.14323041902165,11.0,"{'ranking': 53, 'rating': 28.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 16, 'rating': 17.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,28,Iowa State,126.14323041902165,11.0,"{'ranking': 33, 'rating': 31.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 28, 'rating': 20.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.1}
2025,29,Boise State,106.10698411317134,9.2,"{'ranking': 15, 'rating': 35.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 53, 'rating': 26.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.3}
2025,30,Nebraska,102.76760972886298,8.9,"{'ranking': 75, 'rating': 26.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 17, 'rating': 17.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.2}
2025,31,Baylor,87.18386260209049,7.5,"{'ranking': 20, 'rating': 34.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 58, 'rating': 27.1, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,32,Florida State,83.84448821778211,7.2,"{'ranking': 58, 'rating': 27.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 28, 'rating': 20.6, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.3}
2025,32,Wisconsin,83.84448821778211,7.2,"{'ranking': 72, 'rating': 26.5, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 24, 'rating': 19.3, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0}
2025,33,Arkansas,81.61823862824319,7.0,"{'ranking': 37, 'rating': 31, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 40, 'rating': 24, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.2}
2025,34,Washington,74.93948985962642,6.4,"{'ranking': 51, 'rating': 28.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 34, 'rating': 22.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.2}
2025,35,Minnesota,70.48699068054857,6.0,"{'ranking': 100, 'rating': 22.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 14, 'rating': 16.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0}
2025,36,Duke,58.24261793808449,4.9,"{'ranking': 65, 'rating': 27, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 33, 'rating': 22, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0}
2025,37,NC State,57.12949314331503,4.8,"{'ranking': 36, 'rating': 31.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 54, 'rating': 26.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.1}
2025,38,Kentucky,56.01636834854557,4.7,"{'ranking': 79, 'rating': 25.8, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 31, 'rating': 21, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.3}
2025,38,Georgia Tech,56.01636834854557,4.7,"{'ranking': 27, 'rating': 32.4, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 64, 'rating': 27.7, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': -0.1}
2025,38,Rutgers,56.01636834854557,4.7,"{'ranking': 50, 'rating': 28.9, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'runRate': None, 'pace': None}","{'ranking': 42, 'rating': 24.2, 'success': None, 'explosiveness': None, 'rushing': None, 'passing': None, 'standardDowns': None, 'passingDowns': None, 'havoc': {'total': None, 'frontSeven': None, 'db': None}}",{'rating': 0.1}
